"","cell","x","y","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd","ISO3","Cell","cloMeanVal","cloMinVal","cloMaxVal","bathyVal","AP","HDI_2015","fshD","O2","SST","VEL","is_marine","SlopeAbsMin","SlopeAvgMin","SlopeAbsMax","SlopeAvgMax","SlopeRange","SlopeAvg","FlowAcc"
"291",4909,-4067530.4452,-2442230.1365,0.0776065302639713,0.0776065302639713,2,5,5,1.4142135623731,"BRA","Land",NA,NA,NA,535.29406066477,TRUE,"0.754",0.051812975,4.14784717381163,21.4190981964558,5.02591276836806,0,0,29.2268990463663,2720,1071.94886550477,1042.8745478461,300.479447550148,3199.82390660967
"292",4911,-4067530.4452,-2042230.1365,0.016676602510642,0.016676602510642,2,4,4,0,"BRA","Land",NA,NA,NA,735.580805272372,TRUE,"0.754",0.051812975,4,22.3537725137001,5.80224590581706,0,0,25.4747491638796,2025,741.259866220736,715.855183946488,232.358528428094,2528.62190635451
"293",4913,-4067530.4452,-1642230.1365,0.0609117859748538,0.0126182965299685,3,4.33333333333333,4,0.577350269189626,"BRA","Land",NA,NA,NA,815.180910169174,TRUE,"0.754",0.051812975,4,23.3275810757573,5.92403818511322,0,0,31.5801320020308,2025,833.890675241158,802.436791335251,263.392621424945,1140.42562193265
"294",4982,-3867530.4452,-2642230.1365,0.0552096723021924,0.0552096723021924,1,4,4,NA,"BRA","Sea",0.652190027532838,0.375140141899257,0.932954868093805,-861.510170919596,TRUE,"0.754",0.051812975,4.07915592561306,21.4156031805996,5.23675705193323,0,0,32.3545150501672,2388,945.024526198439,912.586399108138,285.798216276477,1557.21962095875
"295",4983,-3867530.4452,-2442230.1365,0.00256348036013166,0.00256348036013166,1,3,3,NA,"BRA","Land",1.19034951639552,0.601660191506437,1.76076698881909,-46.9375506565083,TRUE,"0.754",0.051812975,4.03477404064074,21.6722017821556,5.29107688776121,0,0,21.4074261177065,2720,865.454407678707,844.155342258146,235.258651174539,4712.05986360192
"296",4984,-3867530.4452,-2242230.1365,0.0171931377368239,0.00659978461243017,29,4.48275862068965,4,1.76515255623927,"BRA","Land",1.87973254849744,0.974046519069478,2.78906976622204,152.775048875855,TRUE,"0.754",0.051812975,4.00175085239406,22.0017577741118,5.41546555623716,0,0,10.3489630297565,1595,464.711812443643,454.361045987376,121.180522993688,1432.49990982867
"297",4986,-3867530.4452,-1842230.1365,0.0381519584583937,0.00842548709847288,5,5,5,2.12132034355964,"BRA","Land",NA,NA,NA,421.915012406948,TRUE,"0.754",0.051812975,4,22.8487869330613,5.92644461078776,0,0,22.9541694242224,1893,855.140800794176,832.264228987426,244.349272005294,3910.55244870946
"298",4991,-3867530.4452,-842230.1365,0.00798234746041278,0.00451612903225806,12,2.91666666666667,3,0.90033663737852,"BRA","Land",NA,NA,NA,492.865874363328,TRUE,"0.754",0.051812975,4,25.2533517276741,5.18865444747187,0,0,15.7087445887446,920,405.627186147186,389.915151515152,130.619220779221,1070.3761038961
"299",4993,-3867530.4452,-442230.1365,0.0021505376344086,0.0010752688172043,3,3.33333333333333,4,1.15470053837925,"BRA","Land",1.59902061406792,0.836979380895182,3.12364949270622,135.41360672615,TRUE,"0.754",0.051812975,4,26.102457891642,5.84808606215224,0,0,12.3844754396604,1934,750.144936325045,737.762886597938,152.955528603194,1001.80129371336
"300",5063,-3667530.4452,-1242230.1365,0.0877130266128686,0.0877130266128686,2,4.5,4.5,0.707106781186548,"BRA","Land",NA,NA,NA,341.592064593452,TRUE,"0.754",0.051812975,4,24.1466925904451,5.44167054401436,0,0,15.3815898198645,2025,476.803503553132,461.406544372831,109.769459593456,47533.5504875227
